STATE,YEAR,MONTH,date,Total_Generation_MWh,Renewable_Generation_MWh,Fossil_Generation_MWh,Nuclear_Generation_MWh,Renewable_Share_Pct,Fossil_Share_Pct,Nuclear_Share_Pct,Total_Consumption_MWh,Avg_Temp_F,Temp_Extreme,Real_GDP_Millions,GDP_Growth_Rate_Annual,Has_RPS,RPS_Target_Pct,Years_Since_RPS,CO2_Intensity_Tons_per_MWh,CO2_Intensity_Proxy,CO2_Intensity_Combined,High_Demand_Month,Fossil_Intensity,High_Fossil_Backup
MA,2001,9,2001-09-01,3050620.0,131262.0,2382498.0,475870.0,4.302797464122047,78.09881270036911,15.599124112475495,25868632.0,66.8,0,,,0,0.0,0.0,,0.5677541319469486,0.5677541319469486,0,78.09881270036911,0
MA,2001,10,2001-10-01,3316561.0,144720.0,2606234.0,497586.0,4.363556105254811,78.58242317870831,15.00307095210973,23545332.0,56.9,0,,,0,0.0,0.0,,0.6251591573319472,0.6251591573319472,0,78.58242317870831,0
MA,2001,11,2001-11-01,3189484.0,148447.0,2487982.0,484169.0,4.654263824493241,78.00578400769528,15.180167074047088,19710270.0,48.2,0,,,0,0.0,0.0,,0.6474184883824468,0.6474184883824468,0,78.00578400769528,0
MA,2001,12,2001-12-01,3335616.0,155537.0,2683204.0,431382.0,4.662916834551699,80.44103397993054,12.932603752949982,21401858.0,40.2,0,,,0,0.0,0.0,,0.6746644697711007,0.6746644697711007,1,80.44103397993054,0
MA,2002,1,2002-01-01,3461185.0,160421.0,2736379.0,497784.0,4.634857714915556,79.05902169343736,14.381895217967259,23811173.0,34.2,1,,,1,35.0,0.0,,0.6314352093285971,0.6314352093285971,1,79.05902169343736,0
MA,2002,2,2002-02-01,3062450.0,151631.0,2402911.0,452918.0,4.951297164035331,78.46368103969044,14.789400643275808,16162379.0,32.4,1,,,1,35.0,0.0,,0.6811279122924456,0.6811279122924456,1,78.46368103969044,0
MA,2002,3,2002-03-01,3518716.0,193375.0,2766208.0,492733.0,5.495612604143102,78.6141308363619,14.003204578033579,22137083.0,34.8,1,,,1,35.0,0.0,,0.6325705143580783,0.6325705143580783,0,78.6141308363619,0
MA,2002,4,2002-04-01,2916096.0,184130.0,2189024.0,481927.0,6.314264002282504,75.06693881134228,16.526444945571065,16140262.0,42.8,0,,,1,35.0,0.0,,0.630935706506233,0.630935706506233,0,75.06693881134228,0
MA,2002,5,2002-05-01,3244387.0,203112.0,2481087.0,493183.0,6.260412213462821,76.47321358395284,15.201115033440832,23438601.0,51.6,0,,,1,35.0,0.0,,0.5717698921244598,0.5717698921244598,0,76.47321358395284,0
MA,2002,6,2002-06-01,3266183.0,188485.0,2552971.0,460816.0,5.770803411811279,78.16374648940368,14.108701196473069,24322705.0,59.3,0,,,1,35.0,0.0,,0.6060660915202852,0.6060660915202852,1,78.16374648940368,0
MA,2002,7,2002-07-01,3955560.0,171278.0,3252452.0,466456.0,4.330056932520301,82.22481772492391,11.792413716389083,30031570.0,67.7,1,,,1,35.0,0.0,,0.639241573885872,0.639241573885872,1,82.22481772492391,0
MA,2002,8,2002-08-01,4021280.0,175338.0,3287265.0,493256.0,4.3602534516372895,81.74673238371861,12.266144113317152,32500018.0,71.4,1,,,1,35.0,0.0,,0.616714077358453,0.616714077358453,1,81.74673238371861,0
MA,2002,9,2002-09-01,3776805.0,177141.0,3069258.0,461774.0,4.690234205896253,81.26599069848722,12.226577755536756,30020224.0,67.9,1,,,1,35.0,0.0,,0.6162580673346916,0.6162580673346916,0,81.26599069848722,0
MA,2002,10,2002-10-01,4002972.0,182394.0,3257717.0,496480.0,4.556464546841696,81.38245783382946,12.402784730944907,26791503.0,56.4,0,,,1,35.0,0.0,,0.653946416562494,0.653946416562494,0,81.38245783382946,0
MA,2002,11,2002-11-01,3488629.0,176654.0,2766328.0,480311.0,5.063708408088106,79.29556281278406,13.767901373290195,22241400.0,43.7,0,,,1,35.0,0.0,,0.6683152264112922,0.6683152264112922,0,79.29556281278406,0
MA,2002,12,2002-12-01,4156359.0,183264.0,3410530.0,491128.0,4.409243763592125,82.05571270431645,11.816303644608178,25898324.0,33.8,1,,,1,35.0,0.0,,0.6812267973002332,0.6812267973002332,1,82.05571270431645,0
MA,2003,1,2003-01-01,4012287.0,186651.0,3264561.0,497165.0,4.651985264264495,81.3640948416701,12.391062752988507,22264014.0,23.8,1,,,1,35.0,1.0,,0.7081182714496745,0.7081182714496745,1,81.3640948416701,0
MA,2003,2,2003-02-01,3695700.0,161835.0,3162576.0,316163.0,4.379008036366589,85.57447844792597,8.554888113212652,22436006.0,20.9,1,,,1,35.0,1.0,,0.7307210163162595,0.7307210163162595,1,85.57447844792597,1
MA,2003,3,2003-03-01,3638025.0,189703.0,2917636.0,464668.0,5.214450148088591,80.19834937912741,12.772534548278255,23576804.0,28.6,1,,,1,35.0,1.0,,0.662687793514338,0.662687793514338,0,80.19834937912741,0
MA,2003,4,2003-04-01,3665626.0,217617.0,3095513.0,283436.0,5.9366940326154385,84.44704942620987,7.732267285314978,30012359.0,38.7,1,,,1,35.0,1.0,,0.6262402670103279,0.6262402670103279,0,84.44704942620987,1
MA,2003,5,2003-05-01,3181317.0,206513.0,2723834.0,181530.0,6.491431064555968,85.61969775410624,5.706127368005137,25456578.0,48.6,0,,,1,35.0,1.0,,0.6278740502754048,0.6278740502754048,0,85.61969775410624,1
MA,2003,6,2003-06-01,3862298.0,184729.0,3175471.0,435051.0,4.782877965397802,82.21714119418026,11.2640453947365,33935287.0,59.1,0,,,1,35.0,1.0,,0.5665283349446365,0.5665283349446365,1,82.21714119418026,0
MA,2003,7,2003-07-01,4998506.0,166604.0,4261120.0,508524.0,3.333075923085818,85.24787206417277,10.173519847730502,43623007.0,67.5,1,,,1,35.0,1.0,,0.588549260519043,0.588549260519043,1,85.24787206417277,1
MA,2003,8,2003-08-01,4965722.0,197594.0,4203515.0,498276.0,3.9791595260467663,84.6506308649578,10.034311224027443,42146087.0,71.2,1,,,1,35.0,1.0,,0.59764386427593,0.59764386427593,1,84.6506308649578,1
MA,2003,9,2003-09-01,4112338.0,176997.0,3409969.0,456319.0,4.304047964928953,82.92044574157086,11.09633984366071,36342228.0,67.0,0,,,1,35.0,1.0,,0.5526815658148723,0.5526815658148723,0,82.92044574157086,0
MA,2003,10,2003-10-01,4544056.0,200005.0,3935536.0,337364.0,4.401464242518138,86.6084396847222,7.42429230625679,40047613.0,55.6,0,,,1,35.0,1.0,,0.5885470117445736,0.5885470117445736,0,86.6084396847222,1
MA,2003,11,2003-11-01,4121214.0,216477.0,3337738.0,491003.0,5.252748340658845,80.98919396080863,11.914037950953286,31728372.0,45.7,0,,,1,35.0,1.0,,0.6074980381994237,0.6074980381994237,0,80.98919396080863,0
MA,2003,12,2003-12-01,4098863.0,223582.0,3291988.0,508456.0,5.454732202564467,80.31466287114256,12.404805918129004,29892452.0,37.1,1,,,1,35.0,1.0,,0.6104644483116416,0.6104644483116416,1,80.31466287114256,0
MA,2004,1,2004-01-01,4618233.0,189223.0,3856644.0,512970.0,4.097303016110274,83.50908236981547,11.107495009454915,27851861.52,24.4,1,,,1,35.0,2.0,,0.7067220384939434,0.7067220384939434,1,83.50908236981547,1
MA,2004,2,2004-02-01,3858039.0,150425.0,3166373.0,479839.0,3.899001539383091,82.07208377105572,12.437380752242266,23983460.41,22.4,1,,,1,35.0,2.0,,0.6797849049737443,0.6797849049737443,1,82.07208377105572,0
MA,2004,3,2004-03-01,4353672.0,192783.0,3637177.0,455553.0,4.428055214081355,83.54274276978147,10.463649994763042,30332014.04,32.0,1,,,1,35.0,2.0,,0.6542579700537845,0.6542579700537845,0,83.54274276978147,1
MA,2004,4,2004-04-01,4346343.0,211747.0,3571200.0,494514.0,4.871842834309211,82.1656275172024,11.3777030482868,36500300.04,41.8,0,,,1,35.0,2.0,,0.5625136028150562,0.5625136028150562,0,82.1656275172024,0
MA,2004,5,2004-05-01,3496433.0,218814.0,2696852.0,510344.0,6.258206577961024,77.13152232575314,14.59613268722724,26353504.94,52.7,0,,,1,35.0,2.0,,0.5432630540896966,0.5432630540896966,0,77.13152232575314,0
MA,2004,6,2004-06-01,3815105.0,169350.0,3089668.0,489062.0,4.438934183987072,80.9851367131442,12.819096722108567,31197718.97,61.1,0,,,1,35.0,2.0,,0.5648403202533089,0.5648403202533089,1,80.9851367131442,0
MA,2004,7,2004-07-01,4423376.0,135453.0,3722356.0,502238.0,3.062208593617183,84.15192377948428,11.35417834703629,34052012.28,66.4,0,,,1,35.0,2.0,,0.6244966898586057,0.6244966898586057,1,84.15192377948428,1
MA,2004,8,2004-08-01,4263320.0,181980.0,3505412.0,507669.0,4.268504358105889,82.22258709175009,11.907832393533678,33013475.52,69.0,1,,,1,35.0,2.0,,0.5966130292823433,0.5966130292823433,1,82.22258709175009,0
MA,2004,9,2004-09-01,3699983.0,195292.0,2958681.0,480302.0,5.278186413288926,79.96471875681591,12.981194778462497,29375843.86,65.7,0,,,1,35.0,2.0,,0.5622440576078322,0.5622440576078322,0,79.96471875681591,0
MA,2004,10,2004-10-01,3641004.0,161937.0,2904428.0,506741.0,4.4475919279407545,79.76997553422078,13.917617228654514,29611473.46,56.2,0,,,1,35.0,2.0,,0.552587300096347,0.552587300096347,0,79.76997553422078,0
MA,2004,11,2004-11-01,3444502.0,183979.0,2703587.0,487798.0,5.34123655611174,78.48992394256122,14.161640782905627,23890654.19,45.3,0,,,1,35.0,2.0,,0.5968339646776225,0.5968339646776225,0,78.48992394256122,0
MA,2004,12,2004-12-01,4038799.0,237198.0,3218863.0,511570.0,5.872983528024048,79.69851928754068,12.666389191440327,25541182.38,35.3,1,,,1,35.0,2.0,,0.6471452144560796,0.6471452144560796,1,79.69851928754068,0
MA,2005,1,2005-01-01,4111667.0,201434.0,3345544.0,507583.0,4.89908351041074,81.36709514656707,12.344944276858996,23876237.099999998,26.5,1,101.1552280407089,,1,35.0,3.0,,0.6879796564264568,0.6879796564264568,1,81.36709514656707,0
MA,2005,2,2005-02-01,3460832.0,176479.0,2771106.0,453958.0,5.0993229373745965,80.07051483573892,13.11701926010855,22580510.41,25.6,1,101.1552280407089,,1,35.0,3.0,,0.6414251948664367,0.6414251948664367,1,80.07051483573892,0
MA,2005,3,2005-03-01,3792641.0,197879.0,3033429.0,495507.0,5.217446101542434,79.98197034731207,13.064959219709959,24865813.82,29.7,1,101.1552280407089,,1,35.0,3.0,,0.6348954607093052,0.6348954607093052,0,79.98197034731207,0
MA,2005,4,2005-04-01,3855456.0,210664.0,3340424.0,242596.0,5.464048869965057,86.64147639086012,6.292277748728036,30581288.68,39.6,1,101.1552280407089,,1,35.0,3.0,,0.6091797312691418,0.6091797312691418,0,86.64147639086012,1
MA,2005,5,2005-05-01,3107307.0,210379.0,2537112.0,291667.0,6.770460723707056,81.64986594501283,9.38648804253973,26348862.560000002,49.8,0,101.1552280407089,,1,35.0,3.0,,0.5649660397250739,0.5649660397250739,0,81.64986594501283,0
MA,2005,6,2005-06-01,4183102.0,201443.0,3427267.0,488551.0,4.81563681688852,81.93123189441711,11.679155803516146,33098839.49,59.8,0,101.1552280407089,,1,35.0,3.0,,0.5978934257400369,0.5978934257400369,1,81.93123189441711,0
MA,2005,7,2005-07-01,4678149.0,185032.0,3920692.0,506701.0,3.9552395616300378,83.8086174681482,10.831228334112488,38717717.0,69.8,1,101.1552280407089,,1,35.0,3.0,,0.5996280516075909,0.5996280516075909,1,83.8086174681482,1
MA,2005,8,2005-08-01,4899389.0,164163.0,4166953.0,502668.0,3.3506831157926023,85.05046241480315,10.259809947730217,41950937.25,71.8,1,101.1552280407089,,1,35.0,3.0,,0.6032993491637427,0.6032993491637427,1,85.05046241480315,1
MA,2005,9,2005-09-01,4361593.0,155442.0,3649999.0,491688.0,3.5638813616951417,83.68499766025853,11.27312887745372,34044893.660000004,68.4,1,101.1552280407089,,1,35.0,3.0,,0.6211454587807712,0.6211454587807712,0,83.68499766025853,1
MA,2005,10,2005-10-01,3984699.0,189925.0,3230183.0,496574.0,4.766357509061538,81.0646676198127,12.462020343318278,24328555.24,58.4,0,101.1552280407089,,1,35.0,3.0,,0.6675353458316424,0.6675353458316424,0,81.0646676198127,0
MA,2005,11,2005-11-01,3341643.0,198330.0,2592328.0,486613.0,5.935104378295347,77.5764496686211,14.562088170400008,21755880.900000002,47.2,0,101.1552280407089,,1,35.0,3.0,,0.6078780049215311,0.6078780049215311,0,77.5764496686211,0
