,YEAR,MONTH,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Total_Generation_MWh,Renewable_Generation_MWh,Fossil_Generation_MWh,Nuclear_Generation_MWh,Renewable_Share_Pct,Fossil_Share_Pct,Nuclear_Share_Pct,Total_Consumption_MWh,Avg_Temp_F,Real_GDP_Millions,GDP_Growth_Rate_Annual,Has_RPS,RPS_Target_Pct,RPS_Implementation_Year,Years_Since_RPS,CO2_Intensity_Tons_per_MWh,date,High_Demand_Month,Temp_Extreme,Fossil_Intensity,CO2_Emissions_Tons_Proxy,CO2_Intensity_Proxy,CO2_Intensity_Combined,High_Fossil_Backup
count,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15652.0,15028.0,12480.0,12852.0,12240.0,15652.0,15652.0,8127.0,15652.0,6732.0,15652,15652.0,15652.0,15615.0,15652.0,15615.0,15622.0,15652.0
mean,2013.0431893687708,6.48172757475083,4646535.138950932,49282.24339509329,855619.9149399438,3837289.5107634803,2531704.757602862,39729.18338870432,57340.05130079223,39306.514306158955,150584.49091617682,-19976.959238435982,170919.7895074112,13083113.056089317,604100.8383714542,120677.46842959366,13103089.901872605,1857940.3059442881,8634409.140630592,2531704.757602862,18.592853903869138,64.30490373827575,16.212775577640514,63985120.787052155,52.96555288461539,119.10772684949615,1.777009037884246,0.45099667774086377,208.26907104523383,2003.7407407407406,5.037119856887299,0.4943028111856124,2013-07-01 13:28:30.299003,0.5016611295681063,0.3983516483516483,64.45421815324792,7087225.8901534015,0.5423669685179706,0.5448332233437851,0.24942499361104012
min,2001.0,1.0,-5559.0,-140.0,-42071.0,-903.0,-29677.0,-152178.0,-534.81,-3.0,-26533.0,-997855.0,-3.0,-1094.0,0.0,-554.0,-1094.0,0.0,-1094.0,-29677.0,0.0,0.0,-0.7716266849444452,0.0,3.0,84.07037103892742,-10.31799642780743,0.0,0.0,1997.0,0.0,0.0010858,2001-01-01 00:00:00,0.0,0.0,-23.675930781331935,-1165.11,-0.10772548505506031,0.0,0.0
25%,2007.0,3.0,204251.5,0.0,35398.9975,167798.7825,0.0,0.0,2438.25,0.0,2157.0,-1341.93,0.0,2712721.0,0.0,0.0,2720142.4025000003,167603.5,1482973.5,0.0,3.8066697036961323,49.622037278437965,0.0,5795750.109999999,39.8,105.21384376807481,0.6342628574166065,0.0,0.0,2002.0,0.0,0.315256,2007-04-01 00:00:00,0.0,0.0,49.75593412259745,1006602.3862500001,0.33250505576425404,0.3473175,0.0
50%,2013.0,6.0,1715362.5,0.0,116711.0,763408.0,820069.5,4394.73,8696.5,0.0,8422.665,0.0,66.545,4928769.0,24039.0,20580.895,4938982.0,411533.0,3194976.0,820069.5,8.601218869188951,66.42468125958686,11.52615048119612,14933444.45,53.9,113.35008175023921,1.8629866743598789,0.0,0.0,2004.0,0.0,0.4564585,2013-07-01 00:00:00,1.0,0.0,66.49809719866886,2792581.2592,0.5219084027025487,0.5279005,0.0
75%,2019.0,9.0,3369691.5,0.0,316276.5,2272851.75,2343013.5,29714.25,36822.75,9563.75,48482.75,0.0,24577.75,9195511.0,262369.0,103679.75,9225273.25,995778.25,6183472.0175,2343013.5,23.966768797738812,83.32746498176579,27.917119365930517,37461994.5175,67.3,126.77926190357405,3.156833652834279,1.0,30.0,2007.0,10.0,0.6556409999999999,2019-10-01 00:00:00,1.0,1.0,83.35670096459125,4954617.23,0.7328861732766054,0.73298,0.0
max,2026.0,12.0,190134816.0,1484389.0,32607115.0,205958737.0,74649040.0,1495939.0,1988778.0,1451497.0,18111843.0,234719.0,33424098.0,446319526.0,50591467.0,3837709.54,446805129.0,101605942.0,318659864.0,74649040.0,100.0,100.0,87.58702158528573,3189700148.0,88.4,213.80485360875474,23.18462108439949,1.0,10000.0,2008.0,29.0,1.24234565,2026-01-01 00:00:00,1.0,1.0,100.0,274863055.49,1.105240695098309,1.24234565,1.0
std,7.238106533157486,3.4609256188644713,17529778.325789332,223641.3441103326,3216333.854090355,14823493.734432396,9052082.296414657,146686.63576756313,208068.06450037556,148810.21594309996,752681.2556001162,79139.36876368587,1179138.1547184645,46526611.52429057,2948529.245177125,433525.48595074913,46596828.86168755,7222503.361793993,30964093.05754027,9052082.296414657,22.808458249585964,24.063263484266685,17.921379991275355,240940610.20690536,17.013952786022656,19.88644915008511,2.6896510435947394,0.49760877644819007,1371.3538455804683,3.272900926564936,7.176443235309918,0.2495449535185934,,0.5000132137178792,0.48957422915543536,23.896567791665184,25710612.61484282,0.2778514145982306,0.27278344856476894,0.432694034911023
