,CO2,Fossil,Renewable,Nuclear,Temp,GDP,Has_RPS,RPS_Pct
CO2,1.0,0.8298239513392024,-0.5871433979040283,-0.34608697146806366,0.04872357911976968,-0.21474117608500004,-0.3192017752631716,-0.36676790783917634
Fossil,0.8298239513392024,1.0,-0.7087464163340156,-0.42369855112163773,0.2656533134100641,-0.22229023315675234,-0.1880093115532082,-0.2431779269931858
Renewable,-0.5871433979040283,-0.7087464163340156,1.0,-0.33732843459740225,-0.4140743969420171,0.3618839049884309,0.11560811200849291,0.202588730340599
Nuclear,-0.34608697146806366,-0.42369855112163773,-0.33732843459740225,1.0,0.16391219567019294,-0.1698221385705458,0.09203409022254355,0.0581423041545178
Temp,0.04872357911976968,0.2656533134100641,-0.4140743969420171,0.16391219567019294,1.0,-0.12898954183104105,-0.28586107126624577,-0.27356712042115416
GDP,-0.21474117608500004,-0.22229023315675234,0.3618839049884309,-0.1698221385705458,-0.12898954183104105,1.0,-0.05663794243531303,-0.07945431808016983
Has_RPS,-0.3192017752631716,-0.1880093115532082,0.11560811200849291,0.09203409022254355,-0.28586107126624577,-0.05663794243531303,1.0,0.763950740078874
RPS_Pct,-0.36676790783917634,-0.2431779269931858,0.202588730340599,0.0581423041545178,-0.27356712042115416,-0.07945431808016983,0.763950740078874,1.0
