STATE,Has_RPS,CATE,CATE_lo,CATE_hi,Fossil_base,Renew_base,CO2_base
AK,0,-0.14532077251707232,-0.27086928275650235,-0.01977226227764234,77.51086290605348,22.489137093946535,0.4851816896330127
AL,0,-0.1341131719038603,-0.25683889754579386,-0.011387446261926754,66.77028483941889,10.091442681283228,0.6803469784897568
AR,0,-0.13955267905861202,-0.25464335680562766,-0.0244620013115964,61.41151431699317,10.13336528015527,0.6044064622453053
AZ,0,-0.14425342271171582,-0.2695453835522859,-0.01896146187114575,67.70127146351889,6.439154207306232,0.5717097724864363
CA,1,-0.14434818783097791,-0.2626803184373695,-0.026016057224586386,48.786458732082984,31.618729277205556,0.23691163781594035
CO,1,-0.13921630953513797,-0.259630987622219,-0.01880163144805698,95.51666383490364,4.478382189666741,0.9071278295841432
CT,1,-0.13672949021958536,-0.2554230651561938,-0.018035915282976947,48.09609226217648,3.738952254457965,0.3546669816689884
DC,1,-0.1335165299974339,-0.2546712493886635,-0.012361810606204351,100.0,0.0,1.065
DE,1,-0.12704763554825838,-0.24475932729328126,-0.009335943803235533,93.86715445576448,0.0,0.9187227890521136
FL,0,-0.13175728407655318,-0.2575854372773042,-0.0059291308758021855,82.99697212262625,2.127988293412804,0.6684756066820988
GA,0,-0.1335332702304508,-0.2592546741679591,-0.007811866292942504,71.27135001602323,5.402177799342141,0.7509555864784215
HI,0,-0.13533046379442037,-0.25331345569539243,-0.017347471893448346,92.80792196467883,5.5228071499625875,0.9955168946759084
IA,0,-0.1391618475692984,-0.26983811835248983,-0.008485576786107007,83.52427890039355,6.348698137506214,0.8938691664714606
ID,0,-0.13996917870217063,-0.2596610075589686,-0.020277349845372716,17.441432190873716,82.25625168180639,0.08552053119801761
IL,1,-0.13893855963355084,-0.2608053980812083,-0.017071721185893396,51.21030991717751,0.47170701375604707,0.5477176510113458
IN,0,-0.13485644238192118,-0.2558947831145163,-0.013818101649326106,97.16875677903819,0.3890760980437276,1.0655887001567608
